SW Version,2017.4
GT Type,7 Series GTX
Date and Time Started,2019-Dec-05 20:09:21
Date and Time Ended,2019-Dec-05 20:09:49
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,78400
Horizontal Opening,393
Horizontal Percentage,76.92
Vertical Opening,185
Vertical Percentage,77.42
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,
Scan Start
2d statistical,-256,-248,-240,-232,-224,-216,-208,-200,-192,-184,-176,-168,-160,-152,-144,-136,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256
120,0.176055,0.16882,0.161191,0.149138,0.135736,0.126433,0.122979,0.122487,0.121758,0.121469,0.115119,0.114829,0.118311,0.108935,0.112248,0.117869,0.11321,0.112526,0.113681,0.115574,0.119207,0.12054,0.118627,0.123078,0.123478,0.12555,0.128121,0.131485,0.137068,0.14678,0.146793,0.185212,0.21873,0.234128,0.213515,0.190747,0.177477,0.165732,0.168495,0.173461,0.192328,0.195718,0.212195,0.221539,0.231855,0.23254,0.243127,0.244858,0.248428,0.250293,0.246464,0.24838,0.248503,0.25044,0.24888,0.248956,0.249486,0.250673,0.2509,0.251756,0.25517,0.265478,0.277997,0.293367,0.307509
112,0.123553,0.118861,0.112092,0.0899407,0.0835721,0.0667902,0.0630375,0.0558944,0.053802,0.0559938,0.0547952,0.057592,0.0588498,0.0561781,0.0600666,0.0578115,0.0593873,0.0612707,0.0632285,0.0601725,0.0688625,0.0640692,0.059821,0.0667092,0.0714326,0.0704133,0.0789351,0.0706199,0.0642918,0.0738171,0.0852933,0.114092,0.140929,0.150971,0.136239,0.0994216,0.0746278,0.0639331,0.0654136,0.0721059,0.0749423,0.0883931,0.0970127,0.10884,0.111305,0.121314,0.125103,0.130824,0.11644,0.128311,0.1344,0.124655,0.146048,0.158626,0.153579,0.167862,0.175527,0.190649,0.218679,0.229513,0.250453,0.265912,0.280904,0.295749,0.309314
104,0.0645272,0.0501704,0.0360023,0.0222022,0.00901996,0.00138886,7.84886e-05,4.53956e-05,2.15534e-05,1.71664e-05,2.85153e-05,3.61448e-05,6.13222e-05,7.55322e-05,7.30526e-05,0.000104524,0.00018101,0.000238994,0.000260834,0.000510319,0.000527771,0.000459678,0.00032702,0.000219348,0.000151637,0.000241379,0.000329404,9.68948e-05,0.000217823,0.000685321,0.00170033,0.0241279,0.0537672,0.0620722,0.0474019,0.0233003,0.00866545,0.000717937,0.000170043,0.000203708,0.000297932,0.000255779,0.000331788,0.000280385,0.000307374,0.000468261,0.000282959,0.000228504,0.000233368,0.000490482,0.000570783,0.000676738,0.000812638,0.00279459,0.00974327,0.0200505,0.0343886,0.0490188,0.0638054,0.085312,0.115879,0.189639,0.248899,0.285606,0.284369
96,0.0635221,0.0471002,0.0335623,0.0199715,0.00709927,0.000873579,1.83108e-05,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.5259e-06,6.68536e-05,4.23438e-05,5.22621e-05,1.62127e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.21256e-05,0.00162299,0.0100848,0.0232124,0.0362061,0.0495434,0.0648779,0.0870612,0.118085,0.152863,0.178512,0.193306
88,0.0655039,0.0461918,0.0319199,0.0184752,0.00607919,0.000618276,9.44152e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,0.000227073,0.00444638,0.0162351,0.029559,0.0424736,0.057305,0.0801237,0.109474,0.141145,0.170388,0.190631
80,0.0679705,0.04603,0.0306116,0.0167977,0.00489967,0.000397593,4.38697e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.8706e-05,0.00165846,0.00999399,0.0228043,0.0356513,0.0511512,0.0748301,0.103975,0.134718,0.164911,0.189638
72,0.0713456,0.0468238,0.0291202,0.0151391,0.00393797,0.000246242,1.5259e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.47959e-06,0.000506218,0.0055869,0.0170317,0.029874,0.0460137,0.0695531,0.0995489,0.129711,0.159562,0.186688
64,0.0749343,0.0489268,0.0289369,0.0137572,0.0030107,0.000145914,2.86107e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,0.000128367,0.00264868,0.0119003,0.0244575,0.0412816,0.0653545,0.0948885,0.125021,0.154523,0.182047
56,0.077778,0.0510282,0.0282317,0.0125177,0.00238222,7.76303e-05,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.88968e-05,0.00121748,0.00809377,0.0206094,0.0381048,0.0631978,0.0915672,0.121787,0.151089,0.178804
48,0.0804204,0.0530417,0.0285672,0.0110941,0.0017525,3.63355e-05,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,4.19623e-06,0.000438029,0.0047466,0.0162807,0.0348451,0.0601702,0.0881716,0.117804,0.147565,0.174895
40,0.0819658,0.0548486,0.029304,0.0101434,0.00129015,1.65942e-05,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,7.62951e-07,0.000140955,0.00279192,0.0129654,0.0324064,0.0579793,0.0853343,0.115144,0.144977,0.172008
32,0.0835561,0.0565179,0.0300394,0.00925679,0.000888266,8.39246e-06,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,1.90738e-07,2.86107e-07,3.34745e-05,0.0014785,0.0104746,0.0305564,0.0566895,0.0840105,0.112703,0.14311,0.169763
